iter	Passed	Remaining
0	5	5084
1	10	4998
2	15	5126
3	20	5088
4	25	5130
5	30	5049
6	35	5046
7	40	4975
8	44	4947
9	49	4928
10	54	4934
11	60	4945
12	65	4939
13	69	4921
14	74	4924
15	79	4897
16	84	4864
17	88	4853
18	93	4847
19	98	4840
20	103	4822
21	108	4818
22	113	4807
23	117	4789
24	122	4771
25	127	4761
26	131	4752
27	136	4743
28	141	4740
29	146	4725
30	150	4717
31	155	4696
32	160	4695
33	165	4689
34	169	4678
35	174	4666
36	179	4672
37	184	4662
38	188	4649
39	193	4643
40	198	4640
41	203	4637
42	208	4629
43	212	4623
44	218	4632
45	223	4626
46	228	4624
47	232	4617
48	237	4612
49	249	4738
50	257	4789
51	267	4873
52	275	4920
53	283	4969
54	292	5023
55	300	5066
56	312	5171
57	321	5214
58	329	5260
59	337	5289
60	346	5331
61	354	5359
62	364	5415
63	372	5449
64	381	5480
65	390	5519
66	398	5553
67	407	5582
68	415	5611
69	424	5635
70	432	5662
71	442	5702
72	451	5738
73	460	5756
74	468	5783
75	477	5802
76	485	5818
77	493	5833
78	501	5851
79	510	5868
80	518	5887
81	527	5905
82	536	5923
83	545	5944
84	554	5963
85	562	5977
86	571	5992
87	579	6001
88	587	6010
89	596	6029
90	604	6038
91	613	6056
92	621	6063
93	629	6068
94	637	6075
95	646	6086
96	654	6096
97	663	6104
98	672	6121
99	681	6136
100	690	6146
101	699	6160
102	708	6170
103	717	6184
104	726	6194
105	735	6207
106	744	6216
107	753	6223
108	762	6231
109	771	6241
110	781	6259
111	790	6264
112	799	6272
113	807	6273
114	815	6278
115	824	6282
116	832	6284
117	841	6291
118	851	6300
119	859	6303
120	868	6309
121	877	6318
122	886	6320
123	895	6325
124	903	6325
125	911	6325
126	920	6326
127	928	6325
128	936	6325
129	945	6324
130	953	6325
131	962	6328
132	970	6327
133	978	6325
134	987	6326
135	996	6331
136	1004	6328
137	1012	6326
138	1021	6326
139	1029	6326
140	1038	6324
141	1046	6322
142	1054	6321
143	1063	6319
144	1071	6318
145	1079	6317
146	1088	6316
147	1097	6315
148	1105	6314
149	1113	6312
150	1122	6311
151	1130	6309
152	1139	6310
153	1148	6307
154	1157	6308
155	1165	6305
156	1173	6300
157	1181	6298
158	1190	6298
159	1198	6293
160	1207	6291
161	1215	6289
162	1223	6282
163	1232	6281
164	1240	6278
165	1249	6276
166	1257	6274
167	1266	6270
168	1279	6289
169	1287	6288
170	1296	6285
171	1305	6282
172	1313	6281
173	1321	6275
174	1330	6273
175	1339	6273
176	1350	6277
177	1358	6274
178	1367	6274
179	1377	6273
180	1386	6272
181	1394	6268
182	1403	6265
183	1411	6258
184	1419	6253
185	1429	6254
186	1438	6253
187	1445	6242
188	1453	6238
189	1462	6235
190	1471	6232
191	1480	6229
192	1488	6224
193	1497	6223
194	1506	6220
195	1515	6217
196	1524	6213
197	1533	6210
198	1542	6207
199	1550	6202
200	1559	6199
201	1567	6193
202	1576	6187
203	1584	6181
204	1594	6184
205	1602	6176
206	1610	6169
207	1618	6164
208	1626	6157
209	1635	6152
210	1644	6148
211	1652	6141
212	1660	6135
213	1668	6128
214	1676	6121
215	1684	6114
216	1692	6108
217	1701	6102
218	1709	6096
219	1718	6092
220	1726	6086
221	1735	6081
222	1743	6076
223	1753	6073
224	1761	6066
225	1770	6064
226	1780	6064
227	1788	6056
228	1797	6050
229	1805	6045
230	1814	6041
231	1823	6037
232	1832	6030
233	1840	6025
234	1849	6019
235	1857	6012
236	1865	6006
237	1874	6000
238	1882	5993
239	1890	5987
240	1899	5983
241	1907	5975
242	1917	5972
243	1925	5966
244	1934	5960
245	1942	5954
246	1951	5949
247	1959	5941
248	1967	5935
249	1975	5927
250	1983	5919
251	1991	5912
252	2000	5905
253	2008	5898
254	2016	5891
255	2025	5885
256	2033	5879
257	2041	5871
258	2049	5864
259	2058	5857
260	2066	5850
261	2074	5844
262	2083	5838
263	2091	5830
264	2099	5823
265	2107	5816
266	2116	5811
267	2125	5804
268	2133	5797
269	2142	5791
270	2150	5784
271	2158	5778
272	2167	5772
273	2175	5764
274	2183	5756
275	2192	5750
276	2200	5744
277	2208	5736
