chronname,city,state,level,control,basic,hbcu,flagship,student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar
Alabama A&M University,Normal,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,yes,no,4051.0,14.2,18.8,21.5,105331.0,75743.0,66436,93.8,3906.0,7142.0,,10.0,29.1,71.2,63.1,82.8,13.0,386,99.7,882.0,20.0
University of Alabama at Birmingham,Birmingham,Alabama,4-year,Public,Research Universities--very high research activity,no,no,11502.0,20.9,18.8,21.5,136546.0,75743.0,66436,72.7,,6088.0,24136.0,29.4,53.5,35.1,80.2,92.4,13.0,106,56.0,1376.0,20.0
Amridge University,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,322.0,29.9,17.8,22.5,58414.0,92268.0,101725,62.7,294.0,2540.0,302.0,0.0,66.7,68.4,37.5,67.2,16.0,252,100.0,3.0,20.0
University of Alabama at Huntsville,Huntsville,Alabama,4-year,Public,Research Universities--very high research activity,no,no,5696.0,20.9,18.8,21.5,64418.0,75743.0,66436,74.4,5000.0,6647.0,11502.0,16.5,48.4,32.8,81.0,65.5,13.0,106,43.1,759.0,20.0
Alabama State University,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,yes,no,5356.0,11.6,18.8,21.5,132407.0,75743.0,66436,91.0,5035.0,7256.0,13202.0,8.8,25.2,82.7,62.2,67.0,13.0,386,88.0,1351.0,20.0
University of Alabama at Tuscaloosa,Tuscaloosa,Alabama,4-year,Public,Research Universities--high research activity,no,yes,,18.3,18.8,21.5,75350.0,75743.0,66436,90.2,,10390.0,19469.0,42.7,66.7,21.1,87.0,69.5,13.0,96,75.9,,20.0
Central Alabama Community College,Alexander City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,1906.0,15.9,15.9,,57572.0,42194.0,37780,50.0,1489.0,5057.0,229.0,7.7,9.1,65.1,42.7,38.3,25.0,289,66.7,594.0,20.0
Auburn University at Montgomery,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,no,no,4322.0,15.4,18.8,21.5,58541.0,75743.0,66436,69.4,3571.0,4327.0,10736.0,9.9,27.1,40.1,63.2,60.1,13.0,386,43.8,536.0,20.0
Auburn University,Auburn University,Alabama,4-year,Public,Research Universities--high research activity,no,no,,21.5,18.8,21.5,71999.0,75743.0,66436,91.0,,8875.0,22092.0,37.6,67.9,16.9,89.5,88.7,13.0,96,75.5,,20.0
Birmingham-Southern College,Birmingham,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,1188.0,23.5,17.8,22.5,113677.0,92268.0,101725,98.2,1331.0,,37598.0,53.2,61.9,21.4,80.4,71.7,16.0,252,88.9,449.0,20.0
Chattahoochee Valley Community College,Phenix City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,1837.0,13.6,15.9,,60303.0,42194.0,37780,57.3,1431.0,4316.0,36.0,7.2,13.4,61.2,51.6,26.7,25.0,289,40.2,276.0,20.0
Concordia College (Ala.),Selma,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,yes,no,600.0,12.3,17.8,22.5,105461.0,92268.0,101725,90.5,515.0,4746.0,,9.8,13.9,83.6,41.0,61.8,16.0,343,74.5,122.0,20.0
South University at Montgomery,Montgomery,Alabama,4-year,Private for-profit,Baccalaureate/Associates Colleges,no,no,599.0,15.0,29.1,24.6,76191.0,17406.0,38763,51.9,577.0,4920.0,,5.3,5.3,71.3,,14.6,9.0,124,23.0,19.0,20.0
Enterprise State Community College,Enterprise,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,2333.0,17.4,15.9,,45911.0,42194.0,37780,56.5,2101.0,4936.0,428.0,8.3,12.9,51.2,54.1,41.6,25.0,289,43.6,520.0,20.0
Faulkner State Community College,Bay Minette,Alabama,2-year,Public,Associates--Public Suburban-serving Multicampus,no,no,4362.0,11.8,15.9,,55426.0,42194.0,37780,59.0,3703.0,4817.0,,9.5,10.0,48.9,52.1,38.1,25.0,99,54.6,1043.0,20.0
Faulkner University,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,2617.0,21.5,17.8,22.5,52010.0,92268.0,101725,68.9,2658.0,6697.0,5494.0,10.6,22.9,58.2,50.0,42.4,16.0,343,49.3,293.0,20.0
Gadsden State Community College,Gadsden,Alabama,2-year,Public,Associates--Public Rural-serving Large,yes,no,5797.0,14.5,15.9,,54629.0,42194.0,37780,54.9,4650.0,4849.0,649.0,7.4,14.4,60.0,55.9,46.3,25.0,128,59.4,1523.0,20.0
