student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar,2_yr_inst,4_yr_inst,private_fp,private,public,hbcu_no,hbcu_yes,flagship_no,flagship_yes,associates_privatefp,associates_pr_sl,associates_pr_sm,associates_pu_multi,bachelors_as,bacelors_df,bachelors_associates,masters_lp,masters_mp,Other_institutions
4051,14,18.8,21.5,105331.0,75743,66436,93.8,3906,7142.0,8677.865365853659,10,29,71.2,63,82.8,13.0,386,99.7,882,20,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
11502,20,18.8,21.5,136546.0,75743,66436,72.7,2157,6088.0,24136.0,29,53,35.1,80,92.4,13.0,106,56.0,1376,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
322,29,17.8,22.5,58414.0,92268,101725,62.7,294,2540.0,302.0,0,66,68.4,37,67.2,16.0,252,100.0,3,20,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
5696,20,18.8,21.5,64418.0,75743,66436,74.4,5000,6647.0,11502.0,16,48,32.8,81,65.5,13.0,106,43.1,759,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
5356,11,18.8,21.5,132407.0,75743,66436,91.0,5035,7256.0,13202.0,8,25,82.7,62,67.0,13.0,386,88.0,1351,20,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2552,18,18.8,21.5,75350.0,75743,66436,90.2,2157,10390.0,19469.0,42,66,21.1,87,69.5,13.0,96,75.9,426,20,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1906,15,15.9,22.79326963024512,57572.0,42194,37780,50.0,1489,5057.0,229.0,7,9,65.1,42,38.3,25.0,289,66.7,594,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
4322,15,18.8,21.5,58541.0,75743,66436,69.4,3571,4327.0,10736.0,9,27,40.1,63,60.1,13.0,386,43.8,536,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2552,21,18.8,21.5,71999.0,75743,66436,91.0,2157,8875.0,22092.0,37,67,16.9,89,88.7,13.0,96,75.5,426,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1188,23,17.8,22.5,113677.0,92268,101725,98.2,1331,6254.176693925234,37598.0,53,61,21.4,80,71.7,16.0,252,88.9,449,20,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
